INSTALL_ID,INSTALL_CODE,STATUS,PROJECT_SUMMARY,IS_ENABLE,CP_DL,CP_XL,CP_MK,COMPLETE_DATE,ACCEPTANCE_DATE,BUSINESS_TYPE,BUSINESS_TYPE_INIT,TOTAL_COUNT
5dacc0ec-d3a7-40f2-bd9b-2c5888a379a6,ZJ_2009040004,5,加站点,1,病理软件,PathQC系统,PathRPT常规报告工作站软件,2021-08-01 00:00:00.000,2021-05-28 00:00:00.000,CG,NULL,4
5dacc0ec-d3a7-40f2-bd9b-2c5888a379a6,ZJ_2009040004,5,加站点,1,病理硬件,物料信息,朗珈鼠标垫,2021-08-01 00:00:00.000,2021-05-28 00:00:00.000,CG,NULL,1
5dacc0ec-d3a7-40f2-bd9b-2c5888a379a6,ZJ_2009040004,5,加站点,1,病理硬件,物料信息,PathQC加密狗,2021-08-01 00:00:00.000,2021-05-28 00:00:00.000,CG,NULL,4
cb2fa1bb-a6a6-48df-8c2e-54175cf43a13,ZJ_2010090001,5,单点登录接口,1,病理接口,信息接口,单点登录系统接口,2021-03-19 00:00:00.000,2021-03-11 00:00:00.000,CG,NULL,1
15423ce9-d957-4f53-a788-72353911b028,ZJ_2102070005,5,STEPP程序,1,病理软件,PathQC系统,定制STEPP评分程序,2021-03-14 00:00:00.000,2021-03-11 00:00:00.000,NULL,NULL,1
68bae9fa-50a7-4402-a104-135a89365ce8,ZJ_2111080001,4,危急值接口,1,病理接口,信息接口,危急值系统接口,NULL,2023-01-11 00:00:00.000,CG,NULL,1
1b0a15df-f237-4fef-b6ac-eb02a8a02523,ZJ_2211240001,4,两院合并接口改造,1,病理接口,信息接口,两院合并接口改造,NULL,2025-07-21 00:00:00.000,TQ,NULL,1
305c6480-a6f5-4dcc-873e-cb06909fc10b,ZJ_2305150003,5,结构化报告及报告上传接口,1,病理软件,PathQC系统,定制骨肿瘤活检标本报告模板,NULL,2023-12-20 00:00:00.000,TQ,NULL,1
305c6480-a6f5-4dcc-873e-cb06909fc10b,ZJ_2305150003,5,结构化报告及报告上传接口,1,病理软件,PathQC系统,定制骨肿瘤切除标本报告模板,NULL,2023-12-20 00:00:00.000,TQ,NULL,1
305c6480-a6f5-4dcc-873e-cb06909fc10b,ZJ_2305150003,5,结构化报告及报告上传接口,1,病理接口,信息接口,定制结构化报告上传接口,NULL,2023-12-20 00:00:00.000,TQ,NULL,1
d34dd0bd-0525-4d2c-bdc1-aa0fbef2b233,ZJ_2305220016,4,病理系统软件升级改造项目,1,病理接口,信息接口,医嘱闭环接口,NULL,2025-07-21 00:00:00.000,CG,NULL,1
d34dd0bd-0525-4d2c-bdc1-aa0fbef2b233,ZJ_2305220016,4,病理系统软件升级改造项目,1,病理接口,信息接口,病案归档系统接口,NULL,2025-07-21 00:00:00.000,CG,NULL,1
d34dd0bd-0525-4d2c-bdc1-aa0fbef2b233,ZJ_2305220016,4,病理系统软件升级改造项目,1,病理接口,信息接口,CA系统接口,NULL,2025-07-21 00:00:00.000,CG,NULL,2
d34dd0bd-0525-4d2c-bdc1-aa0fbef2b233,ZJ_2305220016,4,病理系统软件升级改造项目,1,病理接口,信息接口,门诊自助打印系统接口,NULL,2025-07-21 00:00:00.000,CG,NULL,1
d34dd0bd-0525-4d2c-bdc1-aa0fbef2b233,ZJ_2305220016,4,病理系统软件升级改造项目,1,病理接口,信息接口,"定制标本流转接口	",NULL,2025-07-21 00:00:00.000,CG,NULL,1
ac06604f-f9c5-452a-bca4-d9a9089550e7,ZJ_2307210008,4,360视图调阅接口,1,病理接口,信息接口,360视图调阅接口,NULL,2025-06-25 00:00:00.000,TQ,NULL,1
f2851ffe-bde3-45f4-9465-c3d03c2da620,ZJ_2309270002,4,结构化报告模板,1,病理软件,PathQC系统,定制膀胱癌病理报告模板,NULL,2023-12-20 00:00:00.000,MF,NULL,1
f2851ffe-bde3-45f4-9465-c3d03c2da620,ZJ_2309270002,4,结构化报告模板,1,病理软件,PathQC系统,定制胆囊癌结构化病理报告模板,NULL,2023-12-20 00:00:00.000,MF,NULL,1
f2851ffe-bde3-45f4-9465-c3d03c2da620,ZJ_2309270002,4,结构化报告模板,1,病理软件,PathQC系统,定制肺癌结构化病理报告模板,NULL,2023-12-20 00:00:00.000,MF,NULL,1
f2851ffe-bde3-45f4-9465-c3d03c2da620,ZJ_2309270002,4,结构化报告模板,1,病理软件,PathQC系统,定制前列腺穿刺标本病理报告模板,NULL,2023-12-20 00:00:00.000,MF,NULL,1
f2851ffe-bde3-45f4-9465-c3d03c2da620,ZJ_2309270002,4,结构化报告模板,1,病理软件,PathQC系统,定制前列腺根治术标本病理报告模板,NULL,2023-12-20 00:00:00.000,MF,NULL,1
f2851ffe-bde3-45f4-9465-c3d03c2da620,ZJ_2309270002,4,结构化报告模板,1,病理软件,PathQC系统,定制下咽癌病理报告模板,NULL,2023-12-20 00:00:00.000,MF,NULL,1
5177312f-9fba-4df5-8f59-f69f535b6c5f,ZJ_2404110002,4,SPC,1,病理接口,设备接口,定制玻片打号机接口,NULL,2025-07-01 00:00:00.000,TQ,NULL,1
f6812a16-1b62-45a4-8285-ee43a62f4194,ZJ_2404170001,5,评级借加密狗,1,病理硬件,物料信息,PathQC加密狗,NULL,2024-05-17 00:00:00.000,JY,NULL,1
c00ca18c-0e3e-4ba4-b99c-ab18878501ee,ZJ_2404300005,1,COC及上传接口,1,病理软件,PathQC系统,定制申康COC肿瘤报告模板套装,NULL,NULL,CG,NULL,1
c00ca18c-0e3e-4ba4-b99c-ab18878501ee,ZJ_2404300005,1,COC及上传接口,1,病理接口,信息接口,定制数据上传接口,NULL,NULL,CG,NULL,1
e9855c52-b367-4442-9e8c-4a48d2e2def1,ZJ_2407160012,4,借用加密狗,1,病理硬件,物料信息,PathQC加密狗,NULL,2024-10-13 00:00:00.000,JY,NULL,1
d63a8ed7-5fdf-4caf-85ff-b32c1ab4a046,ZJ_2409230005,5,结构化报告模板,1,病理软件,PathQC系统,定制睾丸生殖细胞肿瘤结构化报告模板,NULL,2024-09-26 00:00:00.000,MF,MF,1
52C268D5-DE73-45C4-A78E-9136ABBCF22D,ZJ14577,5,NULL,1,病理软件,PathQC系统,PathReg登记工作站软件,2017-08-15 00:00:00.000,2017-08-15 00:00:00.000,CG,NULL,2
52C268D5-DE73-45C4-A78E-9136ABBCF22D,ZJ14577,5,NULL,1,病理软件,PathQC系统,PathBPS取材工作站软件,2017-08-15 00:00:00.000,2017-08-15 00:00:00.000,CG,NULL,4
52C268D5-DE73-45C4-A78E-9136ABBCF22D,ZJ14577,5,NULL,1,病理软件,PathQC系统,PathBM包埋工作站软件,2017-08-15 00:00:00.000,2017-08-15 00:00:00.000,CG,NULL,1
52C268D5-DE73-45C4-A78E-9136ABBCF22D,ZJ14577,5,NULL,1,病理软件,PathQC系统,PathQP切片工作站软件,2017-08-15 00:00:00.000,2017-08-15 00:00:00.000,CG,NULL,1
52C268D5-DE73-45C4-A78E-9136ABBCF22D,ZJ14577,5,NULL,1,病理软件,PathQC系统,PathTJ特检工作站软件,2017-08-15 00:00:00.000,2017-08-15 00:00:00.000,CG,NULL,2
52C268D5-DE73-45C4-A78E-9136ABBCF22D,ZJ14577,5,NULL,1,病理软件,PathQC系统,PathGD归档工作站软件,2017-08-15 00:00:00.000,2017-08-15 00:00:00.000,CG,NULL,1
52C268D5-DE73-45C4-A78E-9136ABBCF22D,ZJ14577,5,NULL,1,病理软件,PathQC系统,PathMTR物料管理工作站软件,2017-08-15 00:00:00.000,2017-08-15 00:00:00.000,CG,NULL,1
52C268D5-DE73-45C4-A78E-9136ABBCF22D,ZJ14577,5,NULL,1,病理软件,PathQC系统,PathView病理报告查询工作站软件,2017-08-15 00:00:00.000,2017-08-15 00:00:00.000,CG,NULL,2
52C268D5-DE73-45C4-A78E-9136ABBCF22D,ZJ14577,5,NULL,1,病理软件,PathQC系统,PATHRPT-TBS-MOP病理常规\细胞学及分子病理综合报告工作站软件,2017-08-15 00:00:00.000,2017-08-15 00:00:00.000,CG,NULL,1
52C268D5-DE73-45C4-A78E-9136ABBCF22D,ZJ14577,5,NULL,1,病理软件,PathQC系统,PathRPT常规报告工作站软件,2017-08-15 00:00:00.000,2017-08-15 00:00:00.000,CG,NULL,19
52C268D5-DE73-45C4-A78E-9136ABBCF22D,ZJ14577,5,NULL,1,病理软件,PathQC系统,大体标本数字成像系统软件,2017-08-15 00:00:00.000,2017-08-15 00:00:00.000,CG,NULL,1
52C268D5-DE73-45C4-A78E-9136ABBCF22D,ZJ14577,5,NULL,1,病理接口,设备接口,PathEPC包埋盒打号机接口模块,2017-08-15 00:00:00.000,2017-08-15 00:00:00.000,CG,NULL,1
52C268D5-DE73-45C4-A78E-9136ABBCF22D,ZJ14577,5,NULL,1,病理接口,设备接口,PathISC全自动免疫组化染色仪接口模块,2017-08-15 00:00:00.000,2017-08-15 00:00:00.000,CG,NULL,3
52C268D5-DE73-45C4-A78E-9136ABBCF22D,ZJ14577,5,NULL,1,病理接口,设备接口,PathSPC玻片打号机接口模块,2017-08-15 00:00:00.000,2017-08-15 00:00:00.000,CG,NULL,1
